,col 0,,col a,col b,col c,col d,col e,col f,RTC,col g,col h
0,0,0,0,0:00:00.000,3.0422,6863.800,0.000,0.000,01/09/2021 20:36:07,20881.1,24.259
1,0.000277778,1.85,0.000513889,0:00:01.000,3.1330,7000.200,1.900,6.000,01/09/2021 20:36:08,21931.6,24.26
2,0.000555556,3.7,0.001027778,0:00:02.000,3.1414,7000.200,3.900,12.100,01/09/2021 20:36:09,21990.4,24.26
3,0.000833333,5.55,0.001541667,0:00:03.000,3.1479,6994.000,5.800,18.300,01/09/2021 20:36:10,22016.4,24.263
4,0.001111111,7.4,0.002055556,0:00:04.000,3.1535,7000.200,7.800,24.400,01/09/2021 20:36:11,22075.1,24.265
5,0.001388889,9.25,0.002569444,0:00:05.000,3.1587,6994.000,9.700,30.500,01/09/2021 20:36:12,22091.9,24.267
6,0.001666667,11.1,0.003083333,0:00:06.000,3.1631,7000.200,11.700,36.700,01/09/2021 20:36:13,22142.3,24.268
7,0.001944444,12.95,0.003597222,0:00:07.000,3.1677,7000.200,13.600,42.800,01/09/2021 20:36:14,22174.5,24.266
8,0.002222222,14.8,0.004111111,0:00:08.000,3.1718,6994.000,15.500,49.000,01/09/2021 20:36:15,22183.6,24.264
9,0.0025,16.65,0.004625,0:00:09.000,3.1758,6994.000,17.500,55.100,01/09/2021 20:36:16,22211.5,24.263
10,0.002777778,18.5,0.005138889,0:00:10.000,3.1795,6994.000,19.400,61.300,01/09/2021 20:36:17,22237.4,24.262
11,0.003055556,20.35,0.005652778,0:00:11.000,3.1835,7000.200,21.400,67.500,01/09/2021 20:36:18,22285.1,24.262
12,0.003333333,22.2,0.006166667,0:00:12.000,3.1870,6994.000,23.300,73.700,01/09/2021 20:36:19,22289.9,24.263
13,0.003611111,24.05,0.006680556,0:00:13.000,3.1907,7000.200,25.300,79.900,01/09/2021 20:36:20,22335.5,24.263
14,0.003888889,25.9,0.007194444,0:00:14.000,3.1938,6994.000,27.200,86.100,01/09/2021 20:36:21,22337.4,24.264
15,0.004166667,27.75,0.007708333,0:00:15.000,3.1975,6994.000,29.200,92.300,01/09/2021 20:36:22,22363.3,24.263
16,0.004444444,29.6,0.008222222,0:00:16.000,3.2003,7000.200,31.100,98.500,01/09/2021 20:36:23,22402.7,24.261
17,0.004722222,31.45,0.008736111,0:00:17.000,3.2037,6994.000,33.000,104.800,01/09/2021 20:36:24,22406.7,24.259
18,0.005,33.3,0.00925,0:00:18.000,3.2068,7000.200,35.000,111.000,01/09/2021 20:36:25,22448.2,24.258
19,0.005277778,35.15,0.009763889,0:00:19.000,3.2096,7000.200,36.900,117.200,01/09/2021 20:36:26,22467.8,24.257
20,0.005555556,37,0.010277778,0:00:20.000,3.2127,6994.000,38.900,123.500,01/09/2021 20:36:27,22469.6,24.257
21,0.005833333,38.85,0.010791667,0:00:21.000,3.2158,7000.200,40.800,129.700,01/09/2021 20:36:28,22511.2,24.257
22,0.006111111,40.7,0.011305556,0:00:22.000,3.2183,6994.000,42.800,136.000,01/09/2021 20:36:29,22508.8,24.257
23,0.006388889,42.55,0.011819444,0:00:23.000,3.2214,6994.000,44.700,142.200,01/09/2021 20:36:30,22530.5,24.256
24,0.006666667,44.4,0.012333333,0:00:24.000,3.2238,6994.000,46.600,148.500,01/09/2021 20:36:31,22547.3,24.253
25,0.006944444,46.25,0.012847222,0:00:25.000,3.2269,6994.000,48.600,154.800,01/09/2021 20:36:32,22568.9,24.252
26,0.007222222,48.1,0.013361111,0:00:26.000,3.2294,7000.200,50.500,161.000,01/09/2021 20:36:33,22606.4,24.25
27,0.0075,49.95,0.013875,0:00:27.000,3.2319,7000.200,52.500,167.300,01/09/2021 20:36:34,22623.9,24.25
28,0.007777778,51.8,0.014388889,0:00:28.000,3.2347,6994.000,54.400,173.600,01/09/2021 20:36:35,22623.5,24.249
29,0.008055556,53.65,0.014902778,0:00:29.000,3.2372,6994.000,56.400,179.900,01/09/2021 20:36:36,22641.0,24.248
30,0.008333333,55.5,0.015416667,0:00:30.000,3.2397,6994.000,58.300,186.200,01/09/2021 20:36:37,22658.5,24.248
31,0.008611111,57.35,0.015930556,0:00:31.000,3.2421,7000.200,60.200,192.500,01/09/2021 20:36:38,22695.3,24.25
32,0.008888889,59.2,0.016444444,0:00:32.000,3.2446,6994.000,62.200,198.800,01/09/2021 20:36:39,22692.7,24.25
33,0.009166667,61.05,0.016958333,0:00:33.000,3.2468,6994.000,64.100,205.100,01/09/2021 20:36:40,22708.1,24.249
34,0.009444444,62.9,0.017472222,0:00:34.000,3.2496,6994.000,66.100,211.400,01/09/2021 20:36:41,22727.7,24.247
35,0.009722222,64.75,0.017986111,0:00:35.000,3.2517,6994.000,68.000,217.700,01/09/2021 20:36:42,22742.4,24.247
36,0.01,66.6,0.0185,0:00:36.000,3.2539,6994.000,70.000,224.000,01/09/2021 20:36:43,22757.8,24.246
37,0.010277778,68.45,0.019013889,0:00:37.000,3.2561,7000.200,71.900,230.400,01/09/2021 20:36:44,22793.4,24.244
38,0.010555556,70.3,0.019527778,0:00:38.000,3.2586,6994.000,73.900,236.700,01/09/2021 20:36:45,22790.6,24.242
39,0.010833333,72.15,0.020041667,0:00:39.000,3.2607,6994.000,75.800,243.000,01/09/2021 20:36:46,22805.3,24.241
40,0.011111111,74,0.020555556,0:00:40.000,3.2629,6994.000,77.700,249.400,01/09/2021 20:36:47,22820.7,24.243
41,0.011388889,75.85,0.021069444,0:00:41.000,3.2654,6994.000,79.700,255.700,01/09/2021 20:36:48,22838.2,24.244
42,0.011666667,77.7,0.021583333,0:00:42.000,3.2672,6994.000,81.600,262.100,01/09/2021 20:36:49,22850.8,24.243
43,0.011944444,79.55,0.022097222,0:00:43.000,3.2694,6994.000,83.600,268.400,01/09/2021 20:36:50,22866.2,24.242
44,0.012222222,81.4,0.022611111,0:00:44.000,3.2713,7000.200,85.500,274.800,01/09/2021 20:36:51,22899.8,24.243
45,0.0125,83.25,0.023125,0:00:45.000,3.2738,7000.200,87.500,281.100,01/09/2021 20:36:52,22917.3,24.241
46,0.012777778,85.1,0.023638889,0:00:46.000,3.2756,6994.000,89.400,287.500,01/09/2021 20:36:53,22909.5,24.24
47,0.013055556,86.95,0.024152778,0:00:47.000,3.2775,6994.000,91.300,293.800,01/09/2021 20:36:54,22922.8,24.24
48,0.013333333,88.8,0.024666667,0:00:48.000,3.2800,6994.000,93.300,300.200,01/09/2021 20:36:55,22940.3,24.24
49,0.013611111,90.65,0.025180556,0:00:49.000,3.2818,6994.000,95.200,306.600,01/09/2021 20:36:56,22952.9,24.24
50,0.013888889,92.5,0.025694444,0:00:50.000,3.2837,6994.000,97.200,313.000,01/09/2021 20:36:57,22966.2,24.241
51,0.014166667,94.35,0.026208333,0:00:51.000,3.2855,7000.200,99.100,319.400,01/09/2021 20:36:58,22999.2,24.241
52,0.014444444,96.2,0.026722222,0:00:52.000,3.2877,6994.000,101.100,325.700,01/09/2021 20:36:59,22994.2,24.241
53,0.014722222,98.05,0.027236111,0:00:53.000,3.2896,7000.200,103.000,332.100,01/09/2021 20:37:00,23027.9,24.239
54,0.015,99.9,0.02775,0:00:54.000,3.2911,6994.000,104.900,338.500,01/09/2021 20:37:01,23018.0,24.239
55,0.015277778,101.75,0.028263889,0:00:55.000,3.2930,6994.000,106.900,344.900,01/09/2021 20:37:02,23031.2,24.24
56,0.015555556,103.6,0.028777778,0:00:56.000,3.2952,7000.200,108.800,351.300,01/09/2021 20:37:03,23067.1,24.241
57,0.015833333,105.45,0.029291667,0:00:57.000,3.2970,6994.000,110.800,357.700,01/09/2021 20:37:04,23059.2,24.241
58,0.016111111,107.3,0.029805556,0:00:58.000,3.2986,6994.000,112.700,364.100,01/09/2021 20:37:05,23070.4,24.242
59,0.016388889,109.15,0.030319444,0:00:59.000,3.3004,6994.000,114.700,370.600,01/09/2021 20:37:06,23083.0,24.241
60,0.016666667,111,0.030833333,0:01:00.000,3.3023,6994.000,116.600,377.000,01/09/2021 20:37:07,23096.3,24.239
61,0.016944444,112.85,0.031347222,0:01:01.000,3.3041,7000.200,118.500,383.400,01/09/2021 20:37:08,23129.4,24.239
62,0.017222222,114.7,0.031861111,0:01:02.000,3.3057,7000.200,120.500,389.800,01/09/2021 20:37:09,23140.6,24.241
63,0.0175,116.55,0.032375,0:01:03.000,3.3076,6994.000,122.400,396.200,01/09/2021 20:37:10,23133.4,24.244
64,0.017777778,118.4,0.032888889,0:01:04.000,3.3091,7000.200,124.400,402.700,01/09/2021 20:37:11,23164.4,24.246
65,0.018055556,120.25,0.033402778,0:01:05.000,3.3110,6994.000,126.300,409.100,01/09/2021 20:37:12,23157.1,24.249
66,0.018333333,122.1,0.033916667,0:01:06.000,3.3128,6994.000,128.300,415.500,01/09/2021 20:37:13,23169.7,24.251
67,0.018611111,123.95,0.034430556,0:01:07.000,3.3144,7000.200,130.200,422.000,01/09/2021 20:37:14,23201.5,24.252
68,0.018888889,125.8,0.034944444,0:01:08.000,3.3159,6994.000,132.200,428.400,01/09/2021 20:37:15,23191.4,24.254
69,0.019166667,127.65,0.035458333,0:01:09.000,3.3178,6994.000,134.100,434.900,01/09/2021 20:37:16,23204.7,24.254
70,0.019444444,129.5,0.035972222,0:01:10.000,3.3193,6994.000,136.000,441.300,01/09/2021 20:37:17,23215.2,24.254
71,0.019722222,131.35,0.036486111,0:01:11.000,3.3209,6994.000,138.000,447.800,01/09/2021 20:37:18,23226.4,24.254
72,0.02,133.2,0.037,0:01:12.000,3.3224,7000.200,139.900,454.200,01/09/2021 20:37:19,23257.5,24.256
73,0.020277778,135.05,0.037513889,0:01:13.000,3.3240,7000.200,141.900,460.700,01/09/2021 20:37:20,23268.7,24.259
74,0.020555556,136.9,0.038027778,0:01:14.000,3.3258,6994.000,143.800,467.200,01/09/2021 20:37:21,23260.6,24.262
75,0.020833333,138.75,0.038541667,0:01:15.000,3.3271,6994.000,145.800,473.600,01/09/2021 20:37:22,23269.7,24.262
76,0.021111111,140.6,0.039055556,0:01:16.000,3.3286,6994.000,147.700,480.100,01/09/2021 20:37:23,23280.2,24.262
77,0.021388889,142.45,0.039569444,0:01:17.000,3.3302,6994.000,149.600,486.600,01/09/2021 20:37:24,23291.4,24.261
78,0.021666667,144.3,0.040083333,0:01:18.000,3.3317,6994.000,151.600,493.000,01/09/2021 20:37:25,23301.9,24.259
79,0.021944444,146.15,0.040597222,0:01:19.000,3.3333,6994.000,153.500,499.500,01/09/2021 20:37:26,23313.1,24.257
80,0.022222222,148,0.041111111,0:01:20.000,3.3348,6994.000,155.500,506.000,01/09/2021 20:37:27,23323.6,24.258
81,0.0225,149.85,0.041625,0:01:21.000,3.3364,6994.000,157.400,512.500,01/09/2021 20:37:28,23334.8,24.26
82,0.022777778,151.7,0.042138889,0:01:22.000,3.3376,6994.000,159.400,519.000,01/09/2021 20:37:29,23343.2,24.26
83,0.023055556,153.55,0.042652778,0:01:23.000,3.3392,6994.000,161.300,525.400,01/09/2021 20:37:30,23354.4,24.259
84,0.023333333,155.4,0.043166667,0:01:24.000,3.3407,6994.000,163.200,531.900,01/09/2021 20:37:31,23364.9,24.258
85,0.023611111,157.25,0.043680556,0:01:25.000,3.3423,6994.000,165.200,538.400,01/09/2021 20:37:32,23376.0,24.258
86,0.023888889,159.1,0.044194444,0:01:26.000,3.3435,7000.200,167.100,544.900,01/09/2021 20:37:33,23405.2,24.256
87,0.024166667,160.95,0.044708333,0:01:27.000,3.3451,7000.200,169.100,551.400,01/09/2021 20:37:34,23416.4,24.256
88,0.024444444,162.8,0.045222222,0:01:28.000,3.3463,7000.200,171.000,557.900,01/09/2021 20:37:35,23424.8,24.255
89,0.024722222,164.65,0.045736111,0:01:29.000,3.3482,6994.000,173.000,564.400,01/09/2021 20:37:36,23417.3,24.254
90,0.025,166.5,0.04625,0:01:30.000,3.3494,7000.200,174.900,570.900,01/09/2021 20:37:37,23446.5,24.252
91,0.025277778,168.35,0.046763889,0:01:31.000,3.3506,6994.000,176.800,577.400,01/09/2021 20:37:38,23434.1,24.252
92,0.025555556,170.2,0.047277778,0:01:32.000,3.3519,6994.000,178.800,584.000,01/09/2021 20:37:39,23443.2,24.252
93,0.025833333,172.05,0.047791667,0:01:33.000,3.3534,7000.200,180.700,590.500,01/09/2021 20:37:40,23474.5,24.253
94,0.026111111,173.9,0.048305556,0:01:34.000,3.3547,6994.000,182.700,597.000,01/09/2021 20:37:41,23462.8,24.254
95,0.026388889,175.75,0.048819444,0:01:35.000,3.3562,6994.000,184.600,603.500,01/09/2021 20:37:42,23473.3,24.254
96,0.026666667,177.6,0.049333333,0:01:36.000,3.3575,6994.000,186.600,610.000,01/09/2021 20:37:43,23482.4,24.251
97,0.026944444,179.45,0.049847222,0:01:37.000,3.3587,6994.000,188.500,616.600,01/09/2021 20:37:44,23490.7,24.251
98,0.027222222,181.3,0.050361111,0:01:38.000,3.3603,7000.200,190.500,623.100,01/09/2021 20:37:45,23522.8,24.252
99,0.0275,183.15,0.050875,0:01:39.000,3.3615,7000.200,192.400,629.600,01/09/2021 20:37:46,23531.2,24.252
100,0.027777778,185,0.051388889,0:01:40.000,3.3630,7000.200,194.300,636.200,01/09/2021 20:37:47,23541.7,24.251
101,0.028055556,186.85,0.051902778,0:01:41.000,3.3643,6994.000,196.300,642.700,01/09/2021 20:37:48,23529.9,24.251
102,0.028333333,188.7,0.052416667,0:01:42.000,3.3655,7000.200,198.200,649.200,01/09/2021 20:37:49,23559.2,24.251
103,0.028611111,190.55,0.052930556,0:01:43.000,3.3668,6994.000,200.200,655.800,01/09/2021 20:37:50,23547.4,24.252
104,0.028888889,192.4,0.053444444,0:01:44.000,3.3677,6994.000,202.100,662.300,01/09/2021 20:37:51,23553.7,24.252
105,0.029166667,194.25,0.053958333,0:01:45.000,3.3689,7000.200,204.100,668.900,01/09/2021 20:37:52,23583.0,24.251
106,0.029444444,196.1,0.054472222,0:01:46.000,3.3702,7000.200,206.000,675.400,01/09/2021 20:37:53,23592.1,24.248
107,0.029722222,197.95,0.054986111,0:01:47.000,3.3717,7000.200,207.900,682.000,01/09/2021 20:37:54,23602.6,24.247
108,0.03,199.8,0.0555,0:01:48.000,3.3730,6994.000,209.900,688.500,01/09/2021 20:37:55,23590.8,24.247
109,0.030277778,201.65,0.056013889,0:01:49.000,3.3742,6994.000,211.800,695.100,01/09/2021 20:37:56,23599.2,24.247
110,0.030555556,203.5,0.056527778,0:01:50.000,3.3754,7000.200,213.800,701.600,01/09/2021 20:37:57,23628.5,24.248
111,0.030833333,205.35,0.057041667,0:01:51.000,3.3764,7000.200,215.700,708.200,01/09/2021 20:37:58,23635.5,24.248
112,0.031111111,207.2,0.057555556,0:01:52.000,3.3776,6994.000,217.700,714.800,01/09/2021 20:37:59,23622.9,24.25
113,0.031388889,209.05,0.058069444,0:01:53.000,3.3792,7000.200,219.600,721.300,01/09/2021 20:38:00,23655.1,24.252
114,0.031666667,210.9,0.058583333,0:01:54.000,3.3801,7000.200,221.500,727.900,01/09/2021 20:38:01,23661.4,24.254
115,0.031944444,212.75,0.059097222,0:01:55.000,3.3813,6994.000,223.500,734.500,01/09/2021 20:38:02,23648.8,24.253
116,0.032222222,214.6,0.059611111,0:01:56.000,3.3826,7000.200,225.400,741.000,01/09/2021 20:38:03,23678.9,24.253
117,0.0325,216.45,0.060125,0:01:57.000,3.3838,7000.200,227.400,747.600,01/09/2021 20:38:04,23687.3,24.253
118,0.032777778,218.3,0.060638889,0:01:58.000,3.3847,6994.000,229.300,754.200,01/09/2021 20:38:05,23672.6,24.253
119,0.033055556,220.15,0.061152778,0:01:59.000,3.3863,7006.400,231.300,760.800,01/09/2021 20:38:06,23725.8,24.253
120,0.033333333,222,0.061666667,0:02:00.000,3.3875,7000.200,233.200,767.400,01/09/2021 20:38:07,23713.2,24.252
121,0.033611111,223.85,0.062180556,0:02:01.000,3.3885,7006.400,235.200,774.000,01/09/2021 20:38:08,23741.2,24.25
122,0.033888889,225.7,0.062694444,0:02:02.000,3.3897,7006.400,237.100,780.600,01/09/2021 20:38:09,23749.6,24.25
123,0.034166667,227.55,0.063208333,0:02:03.000,3.3909,7006.400,239.100,787.200,01/09/2021 20:38:10,23758.0,24.251
124,0.034444444,229.4,0.063722222,0:02:04.000,3.3922,7006.400,241.000,793.800,01/09/2021 20:38:11,23767.1,24.252
125,0.034722222,231.25,0.064236111,0:02:05.000,3.3931,7006.400,242.900,800.400,01/09/2021 20:38:12,23773.4,24.252
126,0.035,233.1,0.06475,0:02:06.000,3.3944,7006.400,244.900,807.000,01/09/2021 20:38:13,23782.5,24.253
127,0.035277778,234.95,0.065263889,0:02:07.000,3.3956,7000.200,246.800,813.600,01/09/2021 20:38:14,23769.9,24.252
128,0.035555556,236.8,0.065777778,0:02:08.000,3.3965,7000.200,248.800,820.200,01/09/2021 20:38:15,23776.2,24.253
129,0.035833333,238.65,0.066291667,0:02:09.000,3.3975,7006.400,250.700,826.800,01/09/2021 20:38:16,23804.2,24.253
130,0.036111111,240.5,0.066805556,0:02:10.000,3.3990,7000.200,252.700,833.400,01/09/2021 20:38:17,23793.7,24.256
131,0.036388889,242.35,0.067319444,0:02:11.000,3.3999,7000.200,254.600,840.000,01/09/2021 20:38:18,23800.0,24.257
132,0.036666667,244.2,0.067833333,0:02:12.000,3.4012,7006.400,256.600,846.600,01/09/2021 20:38:19,23830.2,24.259
133,0.036944444,246.05,0.068347222,0:02:13.000,3.4021,7000.200,258.500,853.300,01/09/2021 20:38:20,23815.4,24.26
134,0.037222222,247.9,0.068861111,0:02:14.000,3.4030,7006.400,260.500,859.900,01/09/2021 20:38:21,23842.8,24.261
135,0.0375,249.75,0.069375,0:02:15.000,3.4043,7006.400,262.400,866.500,01/09/2021 20:38:22,23851.9,24.261
136,0.037777778,251.6,0.069888889,0:02:16.000,3.4052,7006.400,264.300,873.100,01/09/2021 20:38:23,23858.2,24.262
137,0.038055556,253.45,0.070402778,0:02:17.000,3.4064,7006.400,266.300,879.700,01/09/2021 20:38:24,23866.6,24.263
138,0.038333333,255.3,0.070916667,0:02:18.000,3.4074,7006.400,268.200,886.400,01/09/2021 20:38:25,23873.6,24.266
139,0.038611111,257.15,0.071430556,0:02:19.000,3.4086,7006.400,270.200,893.000,01/09/2021 20:38:26,23882.0,24.267
140,0.038888889,259,0.071944444,0:02:20.000,3.4095,7000.200,272.100,899.600,01/09/2021 20:38:27,23867.2,24.266
141,0.039166667,260.85,0.072458333,0:02:21.000,3.4105,7000.200,274.100,906.300,01/09/2021 20:38:28,23874.2,24.263
142,0.039444444,262.7,0.072972222,0:02:22.000,3.4114,7006.400,276.000,912.900,01/09/2021 20:38:29,23901.6,24.262
143,0.039722222,264.55,0.073486111,0:02:23.000,3.4123,7000.200,278.000,919.500,01/09/2021 20:38:30,23886.8,24.261
144,0.04,266.4,0.074,0:02:24.000,3.4139,7006.400,279.900,926.200,01/09/2021 20:38:31,23919.1,24.261
145,0.040277778,268.25,0.074513889,0:02:25.000,3.4148,7006.400,281.900,932.800,01/09/2021 20:38:32,23925.5,24.261
146,0.040555556,270.1,0.075027778,0:02:26.000,3.4157,7006.400,283.800,939.500,01/09/2021 20:38:33,23931.8,24.26
147,0.040833333,271.95,0.075541667,0:02:27.000,3.4167,7006.400,285.700,946.100,01/09/2021 20:38:34,23938.8,24.257
148,0.041111111,273.8,0.076055556,0:02:28.000,3.4176,7000.200,287.700,952.800,01/09/2021 20:38:35,23923.9,24.256
149,0.041388889,275.65,0.076569444,0:02:29.000,3.4185,7000.200,289.600,959.400,01/09/2021 20:38:36,23930.2,24.254
150,0.041666667,277.5,0.077083333,0:02:30.000,3.4195,7006.400,291.600,966.100,01/09/2021 20:38:37,23958.4,24.255
151,0.041944444,279.35,0.077597222,0:02:31.000,3.4207,7000.200,293.500,972.700,01/09/2021 20:38:38,23945.6,24.254
152,0.042222222,281.2,0.078111111,0:02:32.000,3.4219,7006.400,295.500,979.400,01/09/2021 20:38:39,23975.2,24.254
153,0.0425,283.05,0.078625,0:02:33.000,3.4226,7000.200,297.400,986.000,01/09/2021 20:38:40,23958.9,24.255
154,0.042777778,284.9,0.079138889,0:02:34.000,3.4238,7000.200,299.400,992.700,01/09/2021 20:38:41,23967.3,24.254
155,0.043055556,286.75,0.079652778,0:02:35.000,3.4247,7006.400,301.300,999.400,01/09/2021 20:38:42,23994.8,24.255
156,0.043333333,288.6,0.080166667,0:02:36.000,3.4257,7000.200,303.300,1006.000,01/09/2021 20:38:43,23980.6,24.256
157,0.043611111,290.45,0.080680556,0:02:37.000,3.4266,7000.200,305.200,1012.700,01/09/2021 20:38:44,23986.9,24.255
158,0.043888889,292.3,0.081194444,0:02:38.000,3.4275,7006.400,307.100,1019.400,01/09/2021 20:38:45,24014.4,24.255
159,0.044166667,294.15,0.081708333,0:02:39.000,3.4288,7006.400,309.100,1026.000,01/09/2021 20:38:46,24023.5,24.255
160,0.044444444,296,0.082222222,0:02:40.000,3.4297,7000.200,311.000,1032.700,01/09/2021 20:38:47,24008.6,24.256
161,0.044722222,297.85,0.082736111,0:02:41.000,3.4303,7000.200,313.000,1039.400,01/09/2021 20:38:48,24012.8,24.259
162,0.045,299.7,0.08325,0:02:42.000,3.4312,7006.400,314.900,1046.000,01/09/2021 20:38:49,24040.4,24.262
163,0.045277778,301.55,0.083763889,0:02:43.000,3.4322,7006.400,316.900,1052.700,01/09/2021 20:38:50,24047.4,24.263
164,0.045555556,303.4,0.084277778,0:02:44.000,3.4331,7000.200,318.800,1059.400,01/09/2021 20:38:51,24032.4,24.263
165,0.045833333,305.25,0.084791667,0:02:45.000,3.4340,7000.200,320.800,1066.100,01/09/2021 20:38:52,24038.7,24.262
166,0.046111111,307.1,0.085305556,0:02:46.000,3.4350,7006.400,322.700,1072.800,01/09/2021 20:38:53,24067.0,24.262
167,0.046388889,308.95,0.085819444,0:02:47.000,3.4359,7006.400,324.700,1079.400,01/09/2021 20:38:54,24073.3,24.261
168,0.046666667,310.8,0.086333333,0:02:48.000,3.4371,7006.400,326.600,1086.100,01/09/2021 20:38:55,24081.7,24.261
169,0.046944444,312.65,0.086847222,0:02:49.000,3.4378,7000.200,328.500,1092.800,01/09/2021 20:38:56,24065.3,24.259
170,0.047222222,314.5,0.087361111,0:02:50.000,3.4387,7006.400,330.500,1099.500,01/09/2021 20:38:57,24092.9,24.256
171,0.0475,316.35,0.087875,0:02:51.000,3.4396,7000.200,332.400,1106.200,01/09/2021 20:38:58,24077.9,24.256
172,0.047777778,318.2,0.088388889,0:02:52.000,3.4406,7000.200,334.400,1112.900,01/09/2021 20:38:59,24084.9,24.256
173,0.048055556,320.05,0.088902778,0:02:53.000,3.4415,7006.400,336.300,1119.600,01/09/2021 20:39:00,24112.5,24.257
174,0.048333333,321.9,0.089416667,0:02:54.000,3.4421,7000.200,338.300,1126.300,01/09/2021 20:39:01,24095.4,24.259
175,0.048611111,323.75,0.089930556,0:02:55.000,3.4430,7006.400,340.200,1133.000,01/09/2021 20:39:02,24123.0,24.259
176,0.048888889,325.6,0.090444444,0:02:56.000,3.4443,7000.200,342.200,1139.700,01/09/2021 20:39:03,24110.8,24.256
177,0.049166667,327.45,0.090958333,0:02:57.000,3.4452,7006.400,344.100,1146.400,01/09/2021 20:39:04,24138.4,24.257
178,0.049444444,329.3,0.091472222,0:02:58.000,3.4458,7000.200,346.100,1153.100,01/09/2021 20:39:05,24121.3,24.256
179,0.049722222,331.15,0.091986111,0:02:59.000,3.4468,7006.400,348.000,1159.800,01/09/2021 20:39:06,24149.7,24.256
180,0.05,333,0.0925,0:03:00.000,3.4477,7006.400,349.900,1166.500,01/09/2021 20:39:07,24156.0,24.255
181,0.050277778,334.85,0.093013889,0:03:01.000,3.4483,7006.400,351.900,1173.200,01/09/2021 20:39:08,24160.2,24.256
182,0.050555556,336.7,0.093527778,0:03:02.000,3.4492,7000.200,353.800,1179.900,01/09/2021 20:39:09,24145.1,24.256
183,0.050833333,338.55,0.094041667,0:03:03.000,3.4502,7006.400,355.800,1186.600,01/09/2021 20:39:10,24173.5,24.257
184,0.051111111,340.4,0.094555556,0:03:04.000,3.4508,7000.200,357.700,1193.300,01/09/2021 20:39:11,24156.3,24.257
185,0.051388889,342.25,0.095069444,0:03:05.000,3.4520,7006.400,359.700,1200.100,01/09/2021 20:39:12,24186.1,24.256
186,0.051666667,344.1,0.095583333,0:03:06.000,3.4530,7006.400,361.600,1206.800,01/09/2021 20:39:13,24193.1,24.254
187,0.051944444,345.95,0.096097222,0:03:07.000,3.4536,7006.400,363.600,1213.500,01/09/2021 20:39:14,24197.3,24.254
188,0.052222222,347.8,0.096611111,0:03:08.000,3.4545,7006.400,365.500,1220.200,01/09/2021 20:39:15,24203.6,24.255
189,0.0525,349.65,0.097125,0:03:09.000,3.4554,7000.200,367.500,1226.900,01/09/2021 20:39:16,24188.5,24.255
190,0.052777778,351.5,0.097638889,0:03:10.000,3.4561,7000.200,369.400,1233.600,01/09/2021 20:39:17,24193.4,24.256
191,0.053055556,353.35,0.098152778,0:03:11.000,3.4570,7006.400,371.300,1240.400,01/09/2021 20:39:18,24221.1,24.257
192,0.053333333,355.2,0.098666667,0:03:12.000,3.4579,7006.400,373.300,1247.100,01/09/2021 20:39:19,24227.4,24.257
193,0.053611111,357.05,0.099180556,0:03:13.000,3.4585,7006.400,375.200,1253.800,01/09/2021 20:39:20,24231.6,24.257
194,0.053888889,358.9,0.099694444,0:03:14.000,3.4598,7006.400,377.200,1260.500,01/09/2021 20:39:21,24240.7,24.255
195,0.054166667,360.75,0.100208333,0:03:15.000,3.4604,7006.400,379.100,1267.300,01/09/2021 20:39:22,24244.9,24.256
196,0.054444444,362.6,0.100722222,0:03:16.000,3.4613,7006.400,381.100,1274.000,01/09/2021 20:39:23,24251.3,24.257
197,0.054722222,364.45,0.101236111,0:03:17.000,3.4619,7006.400,383.000,1280.700,01/09/2021 20:39:24,24255.5,24.259
198,0.055,366.3,0.10175,0:03:18.000,3.4629,7000.200,385.000,1287.500,01/09/2021 20:39:25,24241.0,24.26
199,0.055277778,368.15,0.102263889,0:03:19.000,3.4635,7000.200,386.900,1294.200,01/09/2021 20:39:26,24245.2,24.261
200,0.055555556,370,0.102777778,0:03:20.000,3.4644,7000.200,388.900,1301.000,01/09/2021 20:39:27,24251.5,24.263
201,0.055833333,371.85,0.103291667,0:03:21.000,3.4650,7006.400,390.800,1307.700,01/09/2021 20:39:28,24277.2,24.265
202,0.056111111,373.7,0.103805556,0:03:22.000,3.4660,7006.400,392.700,1314.400,01/09/2021 20:39:29,24284.2,24.265
203,0.056388889,375.55,0.104319444,0:03:23.000,3.4669,7006.400,394.700,1321.200,01/09/2021 20:39:30,24290.5,24.264
204,0.056666667,377.4,0.104833333,0:03:24.000,3.4678,7000.200,396.600,1327.900,01/09/2021 20:39:31,24275.3,24.266
205,0.056944444,379.25,0.105347222,0:03:25.000,3.4685,7000.200,398.600,1334.700,01/09/2021 20:39:32,24280.2,24.267
206,0.057222222,381.1,0.105861111,0:03:26.000,3.4691,7006.400,400.500,1341.400,01/09/2021 20:39:33,24305.9,24.268
