col 1,Time,col 2,col 3,col 4,col 5,col 6
1,09-Jan-21 01:48:39:417,00:00:00:00:000,44.613,0,23.568,0
2,09-Jan-21 01:48:43:738,00:00:00:04:321,44.518,0,23.512,0
3,09-Jan-21 01:48:45:593,00:00:00:06:176,44.514,0,23.507,0
4,09-Jan-21 01:48:47:452,00:00:00:08:035,44.51,0,23.503,0
5,09-Jan-21 01:48:49:308,00:00:00:09:891,44.506,0,23.499,0
6,09-Jan-21 01:48:51:165,00:00:00:11:748,44.502,0,23.495,0
7,09-Jan-21 01:48:53:021,00:00:00:13:604,44.499,0,23.494,0
8,09-Jan-21 01:48:54:877,00:00:00:15:460,44.495,0,23.494,0
9,09-Jan-21 01:48:56:733,00:00:00:17:316,44.491,0,23.492,0
10,09-Jan-21 01:48:58:589,00:00:00:19:172,44.488,0,23.49,0
11,09-Jan-21 01:49:00:443,00:00:00:21:026,44.482,0,23.488,0
12,09-Jan-21 01:49:02:300,00:00:00:22:883,44.479,0,23.487,0
13,09-Jan-21 01:49:04:155,00:00:00:24:738,44.476,0,23.488,0
14,09-Jan-21 01:49:06:011,00:00:00:26:594,44.472,0,23.485,0
15,09-Jan-21 01:49:07:866,00:00:00:28:449,44.469,0,23.484,0
16,09-Jan-21 01:49:09:721,00:00:00:30:304,44.465,0,23.481,0
17,09-Jan-21 01:49:11:580,00:00:00:32:163,44.462,0,23.48,0
18,09-Jan-21 01:49:13:435,00:00:00:34:018,44.457,0,23.481,0
19,09-Jan-21 01:49:15:291,00:00:00:35:874,44.452,0,23.481,0
20,09-Jan-21 01:49:17:147,00:00:00:37:730,44.448,0,23.481,0
21,09-Jan-21 01:49:19:004,00:00:00:39:587,44.445,0,23.482,0
22,09-Jan-21 01:49:20:859,00:00:00:41:442,44.441,0,23.483,0
23,09-Jan-21 01:49:22:716,00:00:00:43:299,44.437,0,23.485,0
24,09-Jan-21 01:49:24:572,00:00:00:45:155,44.433,0,23.486,0
25,09-Jan-21 01:49:26:428,00:00:00:47:011,44.43,0,23.487,0
26,09-Jan-21 01:49:28:284,00:00:00:48:867,44.427,0,23.49,0
27,09-Jan-21 01:49:30:140,00:00:00:50:723,44.424,0,23.49,0
28,09-Jan-21 01:49:31:996,00:00:00:52:579,44.42,0,23.489,0
29,09-Jan-21 01:49:33:851,00:00:00:54:434,44.418,0,23.489,0
30,09-Jan-21 01:49:35:707,00:00:00:56:290,44.415,0,23.488,0
31,09-Jan-21 01:49:37:563,00:00:00:58:146,44.411,0,23.489,0
32,09-Jan-21 01:49:39:418,00:00:01:00:001,44.409,0,23.49,0
33,09-Jan-21 01:49:41:274,00:00:01:01:857,44.407,0,23.49,0
34,09-Jan-21 01:49:43:129,00:00:01:03:712,44.402,0,23.492,0
35,09-Jan-21 01:49:44:986,00:00:01:05:569,44.398,0,23.495,0
36,09-Jan-21 01:49:46:842,00:00:01:07:425,44.393,0,23.494,0
37,09-Jan-21 01:49:48:697,00:00:01:09:280,44.39,0,23.493,0
38,09-Jan-21 01:49:50:554,00:00:01:11:137,44.387,0,23.493,0
39,09-Jan-21 01:49:52:409,00:00:01:12:992,44.383,0,23.493,0
40,09-Jan-21 01:49:54:264,00:00:01:14:847,44.379,0,23.493,0
41,09-Jan-21 01:49:56:120,00:00:01:16:703,44.377,0,23.493,0
42,09-Jan-21 01:49:57:977,00:00:01:18:560,44.376,0,23.491,0
43,09-Jan-21 01:49:59:832,00:00:01:20:415,44.373,0,23.492,0
44,09-Jan-21 01:50:01:688,00:00:01:22:271,44.368,0,23.49,0
45,09-Jan-21 01:50:03:545,00:00:01:24:128,44.365,0,23.488,0
46,09-Jan-21 01:50:05:401,00:00:01:25:984,44.365,0,23.488,0
47,09-Jan-21 01:50:07:258,00:00:01:27:841,44.367,0,23.49,0
48,09-Jan-21 01:50:09:115,00:00:01:29:698,44.369,0,23.492,0
49,09-Jan-21 01:50:10:971,00:00:01:31:554,44.371,0,23.492,0
50,09-Jan-21 01:50:12:826,00:00:01:33:409,44.373,0,23.494,0
51,09-Jan-21 01:50:14:684,00:00:01:35:267,44.374,0,23.498,0
52,09-Jan-21 01:50:16:541,00:00:01:37:124,44.377,0,23.502,0
53,09-Jan-21 01:50:18:396,00:00:01:38:979,44.381,0,23.502,0
54,09-Jan-21 01:50:20:253,00:00:01:40:836,44.386,0,23.5,0
55,09-Jan-21 01:50:22:108,00:00:01:42:691,44.39,0,23.501,0
56,09-Jan-21 01:50:23:963,00:00:01:44:546,44.397,0,23.502,0
