,Unnamed: 0,col 0,Unnamed: 2,col a,col b,col c,col d,col e,col f,RTC,col g,col h,new_Time,col 1,Time,col 2,col 3,col 4,col 5,col 6
0,0,0.0,0.0,0.0,0:00:00.000,3.0422,6863.8,0.0,0.0,01/09/2021 20:36:07,20881.1,24.259,2021-09-01 20:36:07,36442.0,09-Jan-21 20:36:07:533,00:18:47:28:116,45.099,0.0,24.26,0.0
1,1,0.000277778,1.85,0.000513889,0:00:01.000,3.133,7000.2,1.9,6.0,01/09/2021 20:36:08,21931.6,24.26,2021-09-01 20:36:08,,,,,,,
2,2,0.000555556,3.7,0.001027778,0:00:02.000,3.1414,7000.2,3.9,12.1,01/09/2021 20:36:09,21990.4,24.26,2021-09-01 20:36:09,36443.0,09-Jan-21 20:36:09:390,00:18:47:29:973,45.099,0.0,24.26,0.0
3,3,0.000833333,5.55,0.001541667,0:00:03.000,3.1479,6994.0,5.8,18.3,01/09/2021 20:36:10,22016.4,24.263,2021-09-01 20:36:10,,,,,,,
4,4,0.0011111110000000001,7.4,0.002055556,0:00:04.000,3.1535,7000.2,7.8,24.4,01/09/2021 20:36:11,22075.1,24.265,2021-09-01 20:36:11,36444.0,09-Jan-21 20:36:11:247,00:18:47:31:830,45.098,0.0,24.263,0.0
5,5,0.001388889,9.25,0.002569444,0:00:05.000,3.1587,6994.0,9.7,30.5,01/09/2021 20:36:12,22091.9,24.267,2021-09-01 20:36:12,,,,,,,
6,6,0.0016666670000000001,11.1,0.0030833329999999997,0:00:06.000,3.1631,7000.2,11.7,36.7,01/09/2021 20:36:13,22142.3,24.268,2021-09-01 20:36:13,36445.0,09-Jan-21 20:36:13:102,00:18:47:33:685,45.095,0.0,24.265,0.0
7,7,0.001944444,12.95,0.003597222,0:00:07.000,3.1677,7000.2,13.6,42.8,01/09/2021 20:36:14,22174.5,24.266,2021-09-01 20:36:14,36446.0,09-Jan-21 20:36:14:959,00:18:47:35:542,45.092,0.0,24.267,0.0
8,8,0.0022222220000000003,14.8,0.004111111,0:00:08.000,3.1718,6994.0,15.5,49.0,01/09/2021 20:36:15,22183.6,24.264,2021-09-01 20:36:15,,,,,,,
9,9,0.0025,16.65,0.004625,0:00:09.000,3.1758,6994.0,17.5,55.1,01/09/2021 20:36:16,22211.5,24.263,2021-09-01 20:36:16,36447.0,09-Jan-21 20:36:16:814,00:18:47:37:397,45.089,0.0,24.268,0.0
